dbarrowcloughlz@nsu.edu,24,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
nheckjx@nsu.edu,46,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,1
bspottiswoodhm@nsu.edu,300,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
gmosconegr@nsu.edu,358,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,0
akelby20@drupal.org,38,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
lbyrdgk@nsu.edu,79,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
mlempertz10@yandex.ru,376,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
zcowl7l@nsu.edu,174,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,2
asimonsen7z@nsu.edu,394,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
pslidders4f@nsu.edu,66,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,1
awillderjq@nsu.edu,205,tops,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,2
avenablesi@salon.com,187,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,2
cmcallof@nsu.edu,296,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
lsekulla8w@nsu.edu,95,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
atorrejon3c@nsu.edu,52,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,0
hmccurts@vinaora.com,93,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
alillecrop1u@about.com,197,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,4
ofumagalliqv@nsu.edu,193,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
wsemechikci@nsu.edu,112,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
ttremollet2t@nsu.edu,221,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,3
srubinivitzlu@nsu.edu,51,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
ascohiergc@nsu.edu,233,makeup,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
ihannondki@nsu.edu,288,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
avirr66@nsu.edu,366,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
dgoodenoughgs@nsu.edu,104,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
rscampm5@nsu.edu,157,Clothing,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,4
kkiesselhe@nsu.edu,224,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
tkorting48@nsu.edu,323,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,5
mbuesdennk@nsu.edu,253,Kitchen & appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
rcayton5r@nsu.edu,100,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,4
selliker1v@ibm.com,188,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,0
rstanwixm3@nsu.edu,145,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
ehaspineallfb@nsu.edu,269,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
onewlindl@nsu.edu,71,t-shirts,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,3
gdeblaseer@nsu.edu,218,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
vcawr7@nsu.edu,161,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
glibbie7q@nsu.edu,349,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
glibbie7q@nsu.edu,77,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
glibbie7q@nsu.edu,297,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,4
emillhill6q@nsu.edu,287,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
iciobotarujm@nsu.edu,158,Kitchen & appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
mfairhamf0@nsu.edu,299,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",2
gnorecb@nsu.edu,699,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
rgoulbornegn@nsu.edu,499,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
bspencleyka@nsu.edu,217,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
hleroy7s@nsu.edu,293,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
dbrigstocko2@nsu.edu,353,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,0
nlarhamap@nsu.edu,298,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
mcrumlyfk@nsu.edu,395,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,5
jcarvil9@economist.com,199,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
jcarvil9@economist.com,396,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,1
jboultwoodre@nsu.edu,198,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
jcory4w@nsu.edu,286,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
pkirklandrq@nsu.edu,214,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
rkorneichikbg@nsu.edu,340,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
aforsythay@nsu.edu,162,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
kperle7k@nsu.edu,256,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
cpaulone4@nsu.edu,343,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
solooneybx@nsu.edu,264,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
tdairtonp8@nsu.edu,140,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
feeles4r@nsu.edu,10,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,0
bmaclaverty2v@nsu.edu,400,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,3
lstuddeard7r@nsu.edu,384,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
rburtwistler8@nsu.edu,326,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
cmabbsdt@nsu.edu,102,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
fdeans6l@nsu.edu,238,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
bmalbonee@nsu.edu,339,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
dbraffington7n@nsu.edu,31,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
cgabeyeb@nsu.edu,156,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
dlawteye2@nsu.edu,314,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,4
mickowics63@nsu.edu,103,Kitchen & appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,4
qricardoufm@nsu.edu,242,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
ogajownikly@nsu.edu,284,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
oreppaportr0@nsu.edu,57,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",0
ccaldeiropf@nsu.edu,244,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",0
kmusslewhitedp@nsu.edu,255,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
dparlettkw@nsu.edu,39,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
msprackling43@nsu.edu,92,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
tandino92@nsu.edu,154,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
jwooderson5q@nsu.edu,19,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,5
jgarrood8v@nsu.edu,265,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
fstodartdu@nsu.edu,329,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,1
gescalanteg4@nsu.edu,186,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,3
gmackall4z@nsu.edu,83,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,5
gmackall4z@nsu.edu,236,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
fthunder1p@webs.com,119,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
fjacquemypl@nsu.edu,316,Kitchen & appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
edionisiih1@nsu.edu,34,tops,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,3
lcootesj9@nsu.edu,223,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mashling8s@nsu.edu,70,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
ccolteneh@nsu.edu,369,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
bparkenl7@nsu.edu,231,Kitchen & appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,2
itompkinson28@pcworld.com,373,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
lcuffehv@nsu.edu,168,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
vrissonh@nsu.edu,259,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
dabelson7x@nsu.edu,363,Electrical Supplies,Samsung Galaxy,S22,Powerful Android,$850 ,5
jberntjd@nsu.edu,72,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,2
ituppm2@nsu.edu,175,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
vconquest69@nsu.edu,371,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,2
ebullardig@nsu.edu,291,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,3
dgurge15@jimdo.com,126,Clothing,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,1
belfordb@yahoo.co.jp,589,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
eorrick96@nsu.edu,289,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
psarfat78@nsu.edu,63,Kitchen & appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
rwomack49@nsu.edu,108,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
eovenden5y@nsu.edu,378,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",0
whasnney2b@biblegateway.com,111,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
mromayniq@nsu.edu,625,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
mromayniq@nsu.edu,261,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
mromayniq@nsu.edu,200,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,1
fcapronqr@nsu.edu,48,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
lmcmanusmc@nsu.edu,240,t-shirts,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,1
lthornberbk@nsu.edu,600,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,5
pstartehp@nsu.edu,271,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,2
gechalieh4@nsu.edu,81,tops,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,1
eswanbourneq0@nsu.edu,43,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
shaydones@nsu.edu,132,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
lcicchinellib5@nsu.edu,356,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,3
jjewettjh@nsu.edu,246,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,1
rvanderhoeven9h@nsu.edu,61,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
tizzatt4e@nsu.edu,105,makeup,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
abartoszek16@reuters.com,352,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
ctelezhking7@nsu.edu,160,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,4
elyfecx@nsu.edu,75,tops,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,2
adebellis2@mit.edu,59,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,1
rbuchankl@nsu.edu,249,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",2
abithellon@nsu.edu,391,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
cdiffley5w@nsu.edu,167,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
nscougallba@nsu.edu,176,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,1
naspcu@nsu.edu,282,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
dairthno@nsu.edu,319,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
jthwaite4l@nsu.edu,184,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
ebromagei6@nsu.edu,44,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
mtuxell5t@nsu.edu,229,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
cjedrzejewskypo@nsu.edu,345,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
hjehaes86@nsu.edu,209,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
jkruszelnickik3@nsu.edu,312,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,4
oflahiveif@nsu.edu,55,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
oflahiveif@nsu.edu,245,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
oflahiveif@nsu.edu,90,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
kbennike0@merriam-webster.com,330,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,2
ikneesha3v@nsu.edu,222,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,3
cdutnallr1@nsu.edu,53,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
hcapellee6@nsu.edu,237,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
hreavellhk@nsu.edu,294,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,4
gdignall3j@nsu.edu,177,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
cpennettalf@nsu.edu,131,Kitchen & appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
ahaskerjg@nsu.edu,123,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
cdullardbp@nsu.edu,350,t-shirts,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,4
cfridpm@nsu.edu,337,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
mamymo@nsu.edu,16,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
pboundey37@nsu.edu,115,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
eparmanpy@nsu.edu,13,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,4
pclampettfg@nsu.edu,243,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,2
bdenevehs@nsu.edu,381,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,4
mbuddenqw@nsu.edu,368,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,2
cceaser3h@nsu.edu,276,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",2
strenamanhu@nsu.edu,11,Kitchen & appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
pbortolazziol@nsu.edu,331,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
zcornillibb@nsu.edu,84,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
gearngycp@nsu.edu,142,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,3
tgettonei8@nsu.edu,9,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,1
gpendry79@nsu.edu,169,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
kwilcockesfx@nsu.edu,338,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
kwilcockesfx@nsu.edu,382,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,2
slittledike1a@dyndns.org,254,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,2
tpollock7j@nsu.edu,113,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
rdellenbroker6c@nsu.edu,69,tops,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,3
mbernasekrm@nsu.edu,5,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
hbintonme@nsu.edu,136,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
acazindy@nsu.edu,2,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
tlinebargerh@flickr.com,278,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
tlinebargerh@flickr.com,15,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,0
tlinebargerh@flickr.com,1,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,4
jtestro45@nsu.edu,183,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
ltortispi@nsu.edu,17,Kitchen & appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
wfranzenct@nsu.edu,262,t-shirts,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,2
wfranzenct@nsu.edu,180,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
wfranzenct@nsu.edu,204,Mixing & measuring tools,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
ecortingq@nsu.edu,96,tops,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,3
ecortingq@nsu.edu,309,tops,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,3
nrideoutmi@nsu.edu,708,toys,Monster Jam El Toro,MJ Mega El Toro,Kid's toys,$70 ,2
nrideoutmi@nsu.edu,711,health care,Luden's Deliciously Soothing Throat Drops,Luden's Throat Drops,Soothing,$2 ,5
ndutchburnel@nsu.edu,714,KidKraft Bancroft Wooden Playhouse,Kid Kraft WP,KK BC Wooden Playhouse,Kid's toys,$80 ,2
wlaurancegt@nsu.edu,717,Pain Relievers,Tylenol Extra Strength Acetaminophen Rapid Release Gels,Tylenol Gel,Relieve Pain,$5 ,5
wlaurancegt@nsu.edu,720,Wellness,Spring Valley Extra Strength Melatonin Tablets,SV ES Melatonin,Sleep like a baby,$10 ,5
wlaurancegt@nsu.edu,723,cat dry food,Meow Mix Original Choice Dry Cat Food,MM OC Dry Cat Food,Healthy and Yummy,$50 ,4
rdichee@adobe.com,726,video games,Elden Ring,ER: MMO,Interactive MMO,$150 ,4
dmccritchiej3@nsu.edu,729,performance nutrition,Body Fortress Super Advanced Whey Protein,BF SA Whey,Gains!,$99 ,3
